Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,19,6
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,7,1
Baystate Medical Center,Hampden - 01199,93,17
Baystate Noble Hospital,Hampden - 01085,3,0
Wing Memorial Hospital,Hampden - 01069,3,0
Berkshire Medical Center,Berkshire - 01201,5,2
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,41,6
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,19,1
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,65,6
Beth Israel Deaconess Medical Center,Suffolk - 02215,207,66
Beverly Hospital,Essex - 01915,76,8
Boston Childrens Hospital,Suffolk - 02115,7,1
Boston Medical Center,Suffolk - 02118,143,35
Brigham and Womens - Faulkner,Suffolk - 02130,50,5
Brigham and Womens Hospital,Suffolk - 02115,166,61
Brockton Hospital,Plymouth - 02302,61,10
Cambridge Hospital,Middlesex - 02139,64,14
Cape Cod Hospital,Barnstable - 02601,22,3
Carney Hospital,Suffolk - 02124,39,15
Clinton Hospital,Worcester- 01510,2,0
Cooley Dickinson Hospital,Hampshire - 01060,27,3
Dana Farber Cancer Institute,Suffolk - 02215,0,0
Emerson Hospital,Middlesex - 01742,51,8
Fairview Hospital,Berkshire - 01230,1,0
Falmouth Hospital,Barnstable - 02540,13,3
Good Samaritan Medical Center,Plymouth - 02301,71,11
Harrington Hospital,Worcester - 01550,6,2
Health Alliance-Leominster,Worcester - 01453,27,8
Heywood Hospital,Worcester - 01440,7,2
Holy Family Hospital,Essex - 01844,51,21
Holyoke Hospital,Hampden - 01040,22,2
Lahey Hospital Burlington,Middlesex - 01805,109,44
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,69,17
Lowell General Hospital,Middlesex - 01854,72,24
Marlborough Hospital,Middlesex - 01752,27,8
Marthas Vineyard Hospital,Dukes - 02557,1,0
Massachusetts Eye and Ear Infirmary,Suffolk - 02114,6,0
Massachusetts General Hospital,Suffolk - 02114,314,97
Melrose Wakefield Hospital,Middlesex - 02176,33,5
Mercy Medical Center,Hampden - 01104,26,11
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,55,11
MetroWest Medical Center Natick,Middlesex - 01760,15,3
Milford Regional Medical Center,Worcester - 01757,39,7
Morton Hospital,Bristol - 02780,50,11
Mount Auburn Hospital,Middlesex - 02138,33,5
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,0
Newton-Wellesley Hospital,Middlesex - 02462,80,13
North Shore Medical Center Salem,Essex - 01970,104,18
Norwood Hospital,Norfolk - 02062,40,7
Saint Vincent Hospital,Worcester - 01608,63,15
Saints Memorial Medical Center,Middlesex - 01852,0,0
South Shore Hospital,Norfolk - 02190,86,17
Southcoast Charlton Memorial Hospital,Bristol - 02720,82,15
St Annes Hospital,Bristol - 02721,0,0
St Elizabeths Medical Center,Suffolk - 02135,44,17
St Lukes Hospital,Bristol - 02740,76,16
Sturdy Memorial Hospital,Bristol - 02703,37,7
Tobey Hospital,Plymouth - 02571,22,4
Tufts Medical Center,Suffolk - 02111,54,33
UMass Memorial-Memorial Campus,Worcester - 01605,67,17
UMass Memorial-University Campus,Worcester - 01655,103,49
Winchester Hospital,Middlesex - 01890,26,6
