Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,17,3
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,4,1
Baystate Medical Center,Hampden - 01199,85,14
Baystate Noble Hospital,Hampden - 01085,3,0
Wing Memorial Hospital,Hampden - 01069,7,0
Berkshire Medical Center,Berkshire - 01201,5,2
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,40,6
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,22,5
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,73,5
Beth Israel Deaconess Medical Center,Suffolk - 02215,230,76
Beverly Hospital,Essex - 01915,81,8
Boston Childrens Hospital,Suffolk - 02115,8,2
Boston Medical Center,Suffolk - 02118,181,46
Brigham and Womens - Faulkner,Suffolk - 02130,51,7
Brigham and Womens Hospital,Suffolk - 02115,130,57
Brockton Hospital,Plymouth - 02302,76,13
Cambridge Hospital,Middlesex - 02139,66,14
Cape Cod Hospital,Barnstable - 02601,21,6
Carney Hospital,Suffolk - 02124,47,9
Clinton Hospital,Worcester- 01510,1,0
Cooley Dickinson Hospital,Hampshire - 01060,20,2
Emerson Hospital,Middlesex - 01742,50,6
Fairview Hospital,Berkshire - 01230,3,1
Falmouth Hospital,Barnstable - 02540,6,1
Good Samaritan Medical Center,Plymouth - 02301,77,11
Harrington Hospital,Worcester - 01550,5,1
Health Alliance-Leominster,Worcester - 01453,23,5
Heywood Hospital,Worcester - 01440,5,0
Holy Family Hospital,Essex - 01844,61,22
Holyoke Hospital,Hampden - 01040,29,3
Lahey Hospital Burlington,Middlesex - 01805,116,50
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,71,17
Lowell General Hospital,Middlesex - 01854,88,25
Marlborough Hospital,Middlesex - 01752,25,11
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts Eye and Ear Infirmary,Suffolk - 02114,5,0
Massachusetts General Hospital,Suffolk - 02114,322,101
Melrose Wakefield Hospital,Middlesex - 02176,50,8
Mercy Medical Center,Hampden - 01104,35,9
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,48,14
MetroWest Medical Center Natick,Middlesex - 01760,7,1
Milford Regional Medical Center,Worcester - 01757,38,6
Morton Hospital,Bristol - 02780,47,6
Mount Auburn Hospital,Middlesex - 02138,58,9
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,0
Newton-Wellesley Hospital,Middlesex - 02462,73,11
North Shore Medical Center Salem,Essex - 01970,98,21
Norwood Hospital,Norfolk - 02062,37,3
Saint Vincent Hospital,Worcester - 01608,67,17
Saints Memorial Medical Center,Middlesex - 01852,0,0
South Shore Hospital,Norfolk - 02190,80,12
Southcoast Charlton Memorial Hospital,Bristol - 02720,72,15
St Annes Hospital,Bristol - 02721,4,0
St Elizabeths Medical Center,Suffolk - 02135,37,18
St Lukes Hospital,Bristol - 02740,76,16
Sturdy Memorial Hospital,Bristol - 02703,38,3
Tobey Hospital,Plymouth - 02571,19,3
Tufts Medical Center,Suffolk - 02111,60,38
UMass Memorial-Memorial Campus,Worcester - 01605,79,22
UMass Memorial-University Campus,Worcester - 01655,95,46
Winchester Hospital,Middlesex - 01890,57,6
