Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,22,4
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,6,0
Baystate Medical Center,Hampden - 01199,103,16
Baystate Noble Hospital,Hampden - 01085,3,0
Wing Memorial Hospital,Hampden - 01069,6,0
Berkshire Medical Center,Berkshire - 01201,4,1
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,45,11
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,18,4
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,59,6
Beth Israel Deaconess Medical Center,Suffolk - 02215,242,92
Beverly Hospital,Essex - 01915,96,8
Boston Childrens Hospital,Suffolk - 02115,8,2
Boston Medical Center,Suffolk - 02118,232,55
Brigham and Womens - Faulkner,Suffolk - 02130,63,8
Brigham and Womens Hospital,Suffolk - 02115,175,75
Brockton Hospital,Plymouth - 02302,80,12
Cambridge Hospital,Middlesex - 02139,81,21
Cape Cod Hospital,Barnstable - 02601,14,4
Carney Hospital,Suffolk - 02124,63,15
Clinton Hospital,Worcester- 01510,2,0
Cooley Dickinson Hospital,Hampshire - 01060,22,6
Emerson Hospital,Middlesex - 01742,42,4
Fairview Hospital,Berkshire - 01230,3,0
Falmouth Hospital,Barnstable - 02540,8,4
Good Samaritan Medical Center,Plymouth - 02301,94,14
Harrington Hospital,Worcester - 01550,10,2
Health Alliance-Leominster,Worcester - 01453,30,5
Heywood Hospital,Worcester - 01440,15,0
Holy Family Hospital,Essex - 01844,56,14
Holyoke Hospital,Hampden - 01040,40,4
Lahey Hospital Burlington,Middlesex - 01805,125,56
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,67,17
Lowell General Hospital,Middlesex - 01854,82,29
Marlborough Hospital,Middlesex - 01752,17,7
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts General Hospital,Suffolk - 02114,384,122
Melrose Wakefield Hospital,Middlesex - 02176,49,7
Mercy Medical Center,Hampden - 01104,37,8
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,57,6
MetroWest Medical Center Natick,Middlesex - 01760,12,1
Milford Regional Medical Center,Worcester - 01757,46,8
Morton Hospital,Bristol - 02780,65,13
Mount Auburn Hospital,Middlesex - 02138,60,12
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,2
Newton-Wellesley Hospital,Middlesex - 02462,79,14
North Shore Medical Center Salem,Essex - 01970,106,23
Norwood Hospital,Norfolk - 02062,52,8
Saint Vincent Hospital,Worcester - 01608,68,14
Saints Memorial Medical Center,Middlesex - 01852,1,0
South Shore Hospital,Norfolk - 02190,120,16
Southcoast Charlton Memorial Hospital,Bristol - 02720,32,6
St Annes Hospital,Bristol - 02721,11,0
St Elizabeths Medical Center,Suffolk - 02135,39,18
St Lukes Hospital,Bristol - 02740,70,17
Sturdy Memorial Hospital,Bristol - 02703,42,6
Tobey Hospital,Plymouth - 02571,13,3
Tufts Medical Center,Suffolk - 02111,85,44
UMass Memorial-Memorial Campus,Worcester - 01605,76,21
UMass Memorial-University Campus,Worcester - 01655,104,48
Winchester Hospital,Middlesex - 01890,60,8
