Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,28,2
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,4,0
Baystate Medical Center,Hampden - 01199,95,15
Baystate Noble Hospital,Hampden - 01085,3,0
Wing Memorial Hospital,Hampden - 01069,4,0
Berkshire Medical Center,Berkshire - 01201,8,5
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,43,10
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,26,3
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,49,7
Beth Israel Deaconess Medical Center,Suffolk - 02215,261,96
Beverly Hospital,Essex - 01915,103,8
Boston Childrens Hospital,Suffolk - 02115,13,4
Boston Medical Center,Suffolk - 02118,245,60
Brigham and Womens - Faulkner,Suffolk - 02130,68,8
Brigham and Womens Hospital,Suffolk - 02115,178,77
Brockton Hospital,Plymouth - 02302,74,12
Cambridge Hospital,Middlesex - 02139,73,18
Cape Cod Hospital,Barnstable - 02601,17,4
Carney Hospital,Suffolk - 02124,59,15
Clinton Hospital,Worcester- 01510,2,0
Cooley Dickinson Hospital,Hampshire - 01060,22,6
Emerson Hospital,Middlesex - 01742,41,6
Fairview Hospital,Berkshire - 01230,3,0
Falmouth Hospital,Barnstable - 02540,8,3
Good Samaritan Medical Center,Plymouth - 02301,111,14
Harrington Hospital,Worcester - 01550,13,3
Health Alliance-Leominster,Worcester - 01453,23,4
Heywood Hospital,Worcester - 01440,11,1
Holy Family Hospital,Essex - 01844,54,20
Holyoke Hospital,Hampden - 01040,35,7
Lahey Hospital Burlington,Middlesex - 01805,147,56
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,64,17
Lowell General Hospital,Middlesex - 01854,76,28
Marlborough Hospital,Middlesex - 01752,20,10
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts General Hospital,Suffolk - 02114,417,139
Melrose Wakefield Hospital,Middlesex - 02176,55,9
Mercy Medical Center,Hampden - 01104,38,8
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,58,22
MetroWest Medical Center Natick,Middlesex - 01760,15,3
Milford Regional Medical Center,Worcester - 01757,47,9
Morton Hospital,Bristol - 02780,82,19
Mount Auburn Hospital,Middlesex - 02138,75,15
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,1,0
Newton-Wellesley Hospital,Middlesex - 02462,87,17
North Shore Medical Center Salem,Essex - 01970,120,22
Norwood Hospital,Norfolk - 02062,46,4
Saint Vincent Hospital,Worcester - 01608,76,11
Saints Memorial Medical Center,Middlesex - 01852,2,0
South Shore Hospital,Norfolk - 02190,134,20
Southcoast Charlton Memorial Hospital,Bristol - 02720,36,11
St Annes Hospital,Bristol - 02721,5,0
St Elizabeths Medical Center,Suffolk - 02135,55,22
St Lukes Hospital,Bristol - 02740,63,10
Sturdy Memorial Hospital,Bristol - 02703,46,6
Tobey Hospital,Plymouth - 02571,12,4
Tufts Medical Center,Suffolk - 02111,92,52
UMass Memorial-Memorial Campus,Worcester - 01605,73,19
UMass Memorial-University Campus,Worcester - 01655,112,52
Winchester Hospital,Middlesex - 01890,72,8
