Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,15,6
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,5,0
Baystate Medical Center,Hampden - 01199,101,19
Baystate Noble Hospital,Hampden - 01085,3,0
Wing Memorial Hospital,Hampden - 01069,6,0
Berkshire Medical Center,Berkshire - 01201,5,4
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,47,6
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,18,3
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,70,8
Beth Israel Deaconess Medical Center,Suffolk - 02215,189,67
Beverly Hospital,Essex - 01915,69,7
Boston Childrens Hospital,Suffolk - 02115,6,1
Boston Medical Center,Suffolk - 02118,156,40
Brigham and Womens - Faulkner,Suffolk - 02130,47,6
Brigham and Womens Hospital,Suffolk - 02115,169,64
Brockton Hospital,Plymouth - 02302,54,16
Cambridge Hospital,Middlesex - 02139,70,13
Cape Cod Hospital,Barnstable - 02601,24,5
Carney Hospital,Suffolk - 02124,38,12
Clinton Hospital,Worcester- 01510,2,0
Cooley Dickinson Hospital,Hampshire - 01060,21,5
Dana Farber Cancer Institute,Suffolk - 02215,0,0
Emerson Hospital,Middlesex - 01742,45,7
Fairview Hospital,Berkshire - 01230,2,0
Falmouth Hospital,Barnstable - 02540,2,1
Good Samaritan Medical Center,Plymouth - 02301,78,11
Harrington Hospital,Worcester - 01550,6,2
Health Alliance-Leominster,Worcester - 01453,21,7
Heywood Hospital,Worcester - 01440,4,1
Holy Family Hospital,Essex - 01844,55,16
Holyoke Hospital,Hampden - 01040,19,4
Lahey Hospital Burlington,Middlesex - 01805,109,46
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,66,15
Lowell General Hospital,Middlesex - 01854,84,28
Marlborough Hospital,Middlesex - 01752,26,11
Marthas Vineyard Hospital,Dukes - 02557,1,0
Massachusetts Eye and Ear Infirmary,Suffolk - 02114,5,0
Massachusetts General Hospital,Suffolk - 02114,297,95
Melrose Wakefield Hospital,Middlesex - 02176,40,5
Mercy Medical Center,Hampden - 01104,29,10
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,56,15
MetroWest Medical Center Natick,Middlesex - 01760,15,3
Milford Regional Medical Center,Worcester - 01757,33,7
Morton Hospital,Bristol - 02780,51,7
Mount Auburn Hospital,Middlesex - 02138,33,6
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,0
Newton-Wellesley Hospital,Middlesex - 02462,76,14
North Shore Medical Center Salem,Essex - 01970,108,16
Norwood Hospital,Norfolk - 02062,45,7
Saint Vincent Hospital,Worcester - 01608,58,15
Saints Memorial Medical Center,Middlesex - 01852,0,0
South Shore Hospital,Norfolk - 02190,90,17
Southcoast Charlton Memorial Hospital,Bristol - 02720,83,17
St Annes Hospital,Bristol - 02721,4,0
St Elizabeths Medical Center,Suffolk - 02135,44,22
St Lukes Hospital,Bristol - 02740,85,14
Sturdy Memorial Hospital,Bristol - 02703,49,4
Tobey Hospital,Plymouth - 02571,24,3
Tufts Medical Center,Suffolk - 02111,55,37
UMass Memorial-Memorial Campus,Worcester - 01605,78,19
UMass Memorial-University Campus,Worcester - 01655,105,49
Winchester Hospital,Middlesex - 01890,31,5
