Hospital Name,Hospital county and zip code,"Hospitalized Total COVID
patients - suspected and confirmed (including ICU)",Hospitalized COVID Patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,18,6
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,11,2
Baystate Medical Center,Hampden - 01199,134,15
Baystate Noble Hospital,Hampden - 01085,5,0
Berkshire Medical Center,Berkshire - 01201,17,5
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,55,7
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,22,6
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,38,2
Beth Israel Deaconess Medical Center,Suffolk - 02215,237,90
Beverly Hospital,Essex - 01915,78,10
Boston Childrens Hospital,Suffolk - 02115,7,2
Boston Medical Center,Suffolk - 02118,267,61
Brigham and Womens - Faulkner,Suffolk - 02130,80,10
Brigham and Womens Hospital,Suffolk - 02115,192,90
Brockton Hospital,Plymouth - 02302,97,16
Cambridge Hospital,Middlesex - 02139,99,18
Cape Cod Hospital,Barnstable - 02601,15,4
Carney Hospital,Suffolk - 02124,79,16
Clinton Hospital,Worcester- 01510,2,0
Cooley Dickinson Hospital,Hampshire - 01060,22,6
Emerson Hospital,Middlesex - 01742,29,1
Fairview Hospital,Berkshire - 01230,4,0
Falmouth Hospital,Barnstable - 02540,11,6
Good Samaritan Medical Center,Plymouth - 02301,80,8
Harrington Hospital,Worcester - 01550,8,4
Health Alliance-Leominster,Worcester - 01453,23,4
Heywood Hospital,Worcester - 01440,14,4
Holy Family Hospital,Essex - 01844,68,18
Holyoke Hospital,Hampden - 01040,48,8
Lahey Hospital Burlington,Middlesex - 01805,156,54
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,59,18
Lowell General Hospital,Middlesex - 01854,103,33
Marlborough Hospital,Middlesex - 01752,19,5
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts General Hospital,Suffolk - 02114,446,176
Melrose Wakefield Hospital,Middlesex - 02176,48,11
Mercy Medical Center,Hampden - 01104,35,8
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,49,10
MetroWest Medical Center Natick,Middlesex - 01760,16,4
Milford Regional Medical Center,Worcester - 01757,38,8
Morton Hospital,Bristol - 02780,84,12
Mount Auburn Hospital,Middlesex - 02138,74,16
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,1,0
Newton-Wellesley Hospital,Middlesex - 02462,117,21
North Shore Medical Center Salem,Essex - 01970,124,17
Norwood Hospital,Norfolk - 02062,54,8
Saint Vincent Hospital,Worcester - 01608,91,17
Saints Memorial Medical Center,Middlesex - 01852,3,0
South Shore Hospital,Norfolk - 02190,138,23
Southcoast Charlton Memorial Hospital,Bristol - 02720,23,6
St Annes Hospital,Bristol - 02721,2,0
St Elizabeths Medical Center,Suffolk - 02135,50,21
St Lukes Hospital,Bristol - 02740,46,9
Sturdy Memorial Hospital,Bristol - 02703,40,7
Tobey Hospital,Plymouth - 02571,10,3
Tufts Medical Center,Suffolk - 02111,94,55
UMass Memorial-Memorial Campus,Worcester - 01605,71,18
UMass Memorial-University Campus,Worcester - 01655,83,46
Winchester Hospital,Middlesex - 01890,50,6
Baystate Wing Hospital,Hampden - 01069,4,3
