Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,24,3
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,7,0
Baystate Medical Center,Hampden - 01199,107,15
Baystate Noble Hospital,Hampden - 01085,3,0
Wing Memorial Hospital,Hampden - 01069,5,0
Berkshire Medical Center,Berkshire - 01201,5,1
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,48,9
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,25,4
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,49,7
Beth Israel Deaconess Medical Center,Suffolk - 02215,271,98
Beverly Hospital,Essex - 01915,99,9
Boston Childrens Hospital,Suffolk - 02115,9,2
Boston Medical Center,Suffolk - 02118,242,53
Brigham and Womens - Faulkner,Suffolk - 02130,62,6
Brigham and Womens Hospital,Suffolk - 02115,171,79
Brockton Hospital,Plymouth - 02302,68,13
Cambridge Hospital,Middlesex - 02139,72,17
Cape Cod Hospital,Barnstable - 02601,13,3
Carney Hospital,Suffolk - 02124,49,14
Clinton Hospital,Worcester- 01510,2,0
Cooley Dickinson Hospital,Hampshire - 01060,25,8
Emerson Hospital,Middlesex - 01742,44,6
Fairview Hospital,Berkshire - 01230,2,0
Falmouth Hospital,Barnstable - 02540,7,2
Good Samaritan Medical Center,Plymouth - 02301,111,14
Harrington Hospital,Worcester - 01550,11,2
Health Alliance-Leominster,Worcester - 01453,22,4
Heywood Hospital,Worcester - 01440,11,2
Holy Family Hospital,Essex - 01844,43,14
Holyoke Hospital,Hampden - 01040,37,5
Lahey Hospital Burlington,Middlesex - 01805,145,56
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,59,18
Lowell General Hospital,Middlesex - 01854,82,27
Marlborough Hospital,Middlesex - 01752,19,9
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts General Hospital,Suffolk - 02114,387,131
Melrose Wakefield Hospital,Middlesex - 02176,55,8
Mercy Medical Center,Hampden - 01104,37,6
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,59,5
MetroWest Medical Center Natick,Middlesex - 01760,12,1
Milford Regional Medical Center,Worcester - 01757,45,9
Morton Hospital,Bristol - 02780,71,14
Mount Auburn Hospital,Middlesex - 02138,69,12
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,1,0
Newton-Wellesley Hospital,Middlesex - 02462,77,17
North Shore Medical Center Salem,Essex - 01970,112,21
Norwood Hospital,Norfolk - 02062,52,8
Saint Vincent Hospital,Worcester - 01608,76,11
Saints Memorial Medical Center,Middlesex - 01852,1,0
South Shore Hospital,Norfolk - 02190,124,18
Southcoast Charlton Memorial Hospital,Bristol - 02720,43,15
St Annes Hospital,Bristol - 02721,6,0
St Elizabeths Medical Center,Suffolk - 02135,50,20
St Lukes Hospital,Bristol - 02740,94,16
Sturdy Memorial Hospital,Bristol - 02703,47,5
Tobey Hospital,Plymouth - 02571,21,7
Tufts Medical Center,Suffolk - 02111,84,46
UMass Memorial-Memorial Campus,Worcester - 01605,77,21
UMass Memorial-University Campus,Worcester - 01655,107,48
Winchester Hospital,Middlesex - 01890,56,8
