Hospital Name,Hospital county and zip code,"Hospitalized Total COVID
patients - suspected and confirmed (including ICU)",Hospitalized COVID Patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,29,4
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,5,0
Baystate Medical Center,Hampden - 01199,125,14
Baystate Noble Hospital,Hampden - 01085,7,0
Berkshire Medical Center,Berkshire - 01201,8,4
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,53,8
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,17,4
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,46,9
Beth Israel Deaconess Medical Center,Suffolk - 02215,245,99
Beverly Hospital,Essex - 01915,109,11
Boston Childrens Hospital,Suffolk - 02115,12,4
Boston Medical Center,Suffolk - 02118,265,62
Brigham and Womens - Faulkner,Suffolk - 02130,73,7
Brigham and Womens Hospital,Suffolk - 02115,201,86
Brockton Hospital,Plymouth - 02302,73,15
Cambridge Hospital,Middlesex - 02139,88,17
Cape Cod Hospital,Barnstable - 02601,18,4
Carney Hospital,Suffolk - 02124,65,15
Clinton Hospital,Worcester- 01510,1,0
Cooley Dickinson Hospital,Hampshire - 01060,11,5
Emerson Hospital,Middlesex - 01742,40,3
Fairview Hospital,Berkshire - 01230,3,0
Falmouth Hospital,Barnstable - 02540,11,5
Good Samaritan Medical Center,Plymouth - 02301,95,11
Harrington Hospital,Worcester - 01550,8,2
Health Alliance-Leominster,Worcester - 01453,24,5
Heywood Hospital,Worcester - 01440,12,3
Holy Family Hospital,Essex - 01844,56,23
Holyoke Hospital,Hampden - 01040,39,6
Lahey Hospital Burlington,Middlesex - 01805,138,59
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,67,19
Lowell General Hospital,Middlesex - 01854,81,33
Marlborough Hospital,Middlesex - 01752,19,10
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts General Hospital,Suffolk - 02114,473,186
Melrose Wakefield Hospital,Middlesex - 02176,51,11
Mercy Medical Center,Hampden - 01104,40,7
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,52,16
MetroWest Medical Center Natick,Middlesex - 01760,15,3
Milford Regional Medical Center,Worcester - 01757,50,8
Morton Hospital,Bristol - 02780,84,19
Mount Auburn Hospital,Middlesex - 02138,80,9
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,0
Newton-Wellesley Hospital,Middlesex - 02462,93,17
North Shore Medical Center Salem,Essex - 01970,135,21
Norwood Hospital,Norfolk - 02062,47,10
Saint Vincent Hospital,Worcester - 01608,69,12
Saints Memorial Medical Center,Middlesex - 01852,3,0
South Shore Hospital,Norfolk - 02190,139,25
Southcoast Charlton Memorial Hospital,Bristol - 02720,32,10
St Annes Hospital,Bristol - 02721,1,0
St Elizabeths Medical Center,Suffolk - 02135,60,23
St Lukes Hospital,Bristol - 02740,46,7
Sturdy Memorial Hospital,Bristol - 02703,36,5
Tobey Hospital,Plymouth - 02571,11,3
Tufts Medical Center,Suffolk - 02111,88,59
UMass Memorial-Memorial Campus,Worcester - 01605,65,22
UMass Memorial-University Campus,Worcester - 01655,104,62
Winchester Hospital,Middlesex - 01890,66,7
Baystate Wing Hospital,Hampden - 01069,8,0
