Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,25,5
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,3,0
Baystate Medical Center,Hampden - 01199,100,12
Baystate Noble Hospital,Hampden - 01085,3,0
Wing Memorial Hospital,Hampden - 01069,4,0
Berkshire Medical Center,Berkshire - 01201,5,2
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,35,7
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,20,4
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,62,5
Beth Israel Deaconess Medical Center,Suffolk - 02215,273,90
Beverly Hospital,Essex - 01915,100,8
Boston Childrens Hospital,Suffolk - 02115,9,2
Boston Medical Center,Suffolk - 02118,232,57
Brigham and Womens - Faulkner,Suffolk - 02130,58,9
Brigham and Womens Hospital,Suffolk - 02115,170,69
Brockton Hospital,Plymouth - 02302,80,12
Cambridge Hospital,Middlesex - 02139,82,21
Cape Cod Hospital,Barnstable - 02601,14,4
Carney Hospital,Suffolk - 02124,66,15
Clinton Hospital,Worcester- 01510,2,0
Cooley Dickinson Hospital,Hampshire - 01060,29,5
Emerson Hospital,Middlesex - 01742,42,4
Fairview Hospital,Berkshire - 01230,3,0
Falmouth Hospital,Barnstable - 02540,5,2
Good Samaritan Medical Center,Plymouth - 02301,75,14
Harrington Hospital,Worcester - 01550,10,2
Health Alliance-Leominster,Worcester - 01453,28,5
Heywood Hospital,Worcester - 01440,7,0
Holy Family Hospital,Essex - 01844,59,20
Holyoke Hospital,Hampden - 01040,37,3
Lahey Hospital Burlington,Middlesex - 01805,130,52
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,70,19
Lowell General Hospital,Middlesex - 01854,82,22
Marlborough Hospital,Middlesex - 01752,22,10
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts General Hospital,Suffolk - 02114,355,119
Melrose Wakefield Hospital,Middlesex - 02176,49,9
Mercy Medical Center,Hampden - 01104,36,8
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,57,7
MetroWest Medical Center Natick,Middlesex - 01760,13,2
Milford Regional Medical Center,Worcester - 01757,39,6
Morton Hospital,Bristol - 02780,70,14
Mount Auburn Hospital,Middlesex - 02138,73,12
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,2
Newton-Wellesley Hospital,Middlesex - 02462,76,13
North Shore Medical Center Salem,Essex - 01970,106,27
Norwood Hospital,Norfolk - 02062,53,7
Saint Vincent Hospital,Worcester - 01608,76,12
Saints Memorial Medical Center,Middlesex - 01852,0,0
South Shore Hospital,Norfolk - 02190,108,13
Southcoast Charlton Memorial Hospital,Bristol - 02720,40,10
St Annes Hospital,Bristol - 02721,13,0
St Elizabeths Medical Center,Suffolk - 02135,50,20
St Lukes Hospital,Bristol - 02740,73,15
Sturdy Memorial Hospital,Bristol - 02703,40,4
Tobey Hospital,Plymouth - 02571,17,4
Tufts Medical Center,Suffolk - 02111,85,45
UMass Memorial-Memorial Campus,Worcester - 01605,84,21
UMass Memorial-University Campus,Worcester - 01655,102,48
Winchester Hospital,Middlesex - 01890,60,6
