Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,19,4
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,1,0
Baystate Medical Center,Hampden - 01199,82,17
Baystate Noble Hospital,Hampden - 01085,3,0
Wing Memorial Hospital,Hampden - 01069,5,0
Berkshire Medical Center,Berkshire - 01201,5,2
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,48,7
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,16,1
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,65,8
Beth Israel Deaconess Medical Center,Suffolk - 02215,172,71
Beverly Hospital,Essex - 01915,85,9
Boston Childrens Hospital,Suffolk - 02115,12,3
Boston Medical Center,Suffolk - 02118,119,33
Brigham and Womens - Faulkner,Suffolk - 02130,49,6
Brigham and Womens Hospital,Suffolk - 02115,159,59
Brockton Hospital,Plymouth - 02302,49,14
Cambridge Hospital,Middlesex - 02139,62,12
Cape Cod Hospital,Barnstable - 02601,19,3
Carney Hospital,Suffolk - 02124,38,15
Clinton Hospital,Worcester- 01510,1,0
Cooley Dickinson Hospital,Hampshire - 01060,26,4
Dana Farber Cancer Institute,Suffolk - 02215,0,0
Emerson Hospital,Middlesex - 01742,46,6
Fairview Hospital,Berkshire - 01230,1,0
Falmouth Hospital,Barnstable - 02540,10,4
Good Samaritan Medical Center,Plymouth - 02301,57,11
Harrington Hospital,Worcester - 01550,8,3
Health Alliance-Leominster,Worcester - 01453,30,8
Heywood Hospital,Worcester - 01440,7,1
Holy Family Hospital,Essex - 01844,46,18
Holyoke Hospital,Hampden - 01040,22,1
Lahey Hospital Burlington,Middlesex - 01805,103,37
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,60,14
Lowell General Hospital,Middlesex - 01854,71,26
Marlborough Hospital,Middlesex - 01752,26,8
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts Eye and Ear Infirmary,Suffolk - 02114,6,0
Massachusetts General Hospital,Suffolk - 02114,292,95
Melrose Wakefield Hospital,Middlesex - 02176,34,5
Mercy Medical Center,Hampden - 01104,23,8
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,55,13
MetroWest Medical Center Natick,Middlesex - 01760,16,2
Milford Regional Medical Center,Worcester - 01757,27,5
Morton Hospital,Bristol - 02780,47,9
Mount Auburn Hospital,Middlesex - 02138,32,6
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,0
Newton-Wellesley Hospital,Middlesex - 02462,79,21
North Shore Medical Center Salem,Essex - 01970,103,18
Norwood Hospital,Norfolk - 02062,38,6
Saint Vincent Hospital,Worcester - 01608,55,19
Saints Memorial Medical Center,Middlesex - 01852,0,0
South Shore Hospital,Norfolk - 02190,89,18
Southcoast Charlton Memorial Hospital,Bristol - 02720,33,10
St Annes Hospital,Bristol - 02721,0,0
St Elizabeths Medical Center,Suffolk - 02135,34,16
St Lukes Hospital,Bristol - 02740,57,18
Sturdy Memorial Hospital,Bristol - 02703,37,7
Tobey Hospital,Plymouth - 02571,13,4
Tufts Medical Center,Suffolk - 02111,67,33
UMass Memorial-Memorial Campus,Worcester - 01605,84,16
UMass Memorial-University Campus,Worcester - 01655,89,42
Winchester Hospital,Middlesex - 01890,27,5
