Hospital Name,Hospital county and zip code,"Hospitalized Total COVID
patients - suspected and confirmed (including ICU)",Hospitalized COVID Patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,20,4
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,11,3
Baystate Medical Center,Hampden - 01199,128,14
Baystate Noble Hospital,Hampden - 01085,8,0
Berkshire Medical Center,Berkshire - 01201,12,4
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,60,9
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,23,6
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,47,4
Beth Israel Deaconess Medical Center,Suffolk - 02215,272,100
Beverly Hospital,Essex - 01915,81,10
Boston Childrens Hospital,Suffolk - 02115,9,4
Boston Medical Center,Suffolk - 02118,268,64
Brigham and Womens - Faulkner,Suffolk - 02130,73,7
Brigham and Womens Hospital,Suffolk - 02115,192,90
Brockton Hospital,Plymouth - 02302,85,13
Cambridge Hospital,Middlesex - 02139,96,15
Cape Cod Hospital,Barnstable - 02601,16,4
Carney Hospital,Suffolk - 02124,81,16
Clinton Hospital,Worcester- 01510,2,0
Cooley Dickinson Hospital,Hampshire - 01060,9,4
Emerson Hospital,Middlesex - 01742,38,4
Fairview Hospital,Berkshire - 01230,3,0
Falmouth Hospital,Barnstable - 02540,7,2
Good Samaritan Medical Center,Plymouth - 02301,102,11
Harrington Hospital,Worcester - 01550,7,2
Health Alliance-Leominster,Worcester - 01453,17,6
Heywood Hospital,Worcester - 01440,11,4
Holy Family Hospital,Essex - 01844,53,19
Holyoke Hospital,Hampden - 01040,41,8
Lahey Hospital Burlington,Middlesex - 01805,135,61
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,67,18
Lowell General Hospital,Middlesex - 01854,83,31
Marlborough Hospital,Middlesex - 01752,14,9
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts General Hospital,Suffolk - 02114,455,173
Melrose Wakefield Hospital,Middlesex - 02176,52,10
Mercy Medical Center,Hampden - 01104,40,8
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,44,14
MetroWest Medical Center Natick,Middlesex - 01760,14,2
Milford Regional Medical Center,Worcester - 01757,40,9
Morton Hospital,Bristol - 02780,82,17
Mount Auburn Hospital,Middlesex - 02138,79,13
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,0
Newton-Wellesley Hospital,Middlesex - 02462,115,19
North Shore Medical Center Salem,Essex - 01970,110,21
Norwood Hospital,Norfolk - 02062,46,9
Saint Vincent Hospital,Worcester - 01608,66,9
Saints Memorial Medical Center,Middlesex - 01852,3,0
South Shore Hospital,Norfolk - 02190,153,28
Southcoast Charlton Memorial Hospital,Bristol - 02720,23,6
St Annes Hospital,Bristol - 02721,1,0
St Elizabeths Medical Center,Suffolk - 02135,49,23
St Lukes Hospital,Bristol - 02740,50,9
Sturdy Memorial Hospital,Bristol - 02703,30,5
Tobey Hospital,Plymouth - 02571,12,5
Tufts Medical Center,Suffolk - 02111,90,59
UMass Memorial-Memorial Campus,Worcester - 01605,67,20
UMass Memorial-University Campus,Worcester - 01655,98,48
Winchester Hospital,Middlesex - 01890,52,5
Baystate Wing Hospital,Hampden - 01069,5,0
