Hospital Name,Hospital county and zip code,"Hospitalized Total COVID
patients - suspected and confirmed (including ICU)",Hospitalized COVID Patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,25,3
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,4,1
Baystate Medical Center,Hampden - 01199,139,13
Baystate Noble Hospital,Hampden - 01085,7,0
Berkshire Medical Center,Berkshire - 01201,8,4
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,62,9
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,21,5
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,49,6
Beth Israel Deaconess Medical Center,Suffolk - 02215,256,105
Beverly Hospital,Essex - 01915,89,10
Boston Childrens Hospital,Suffolk - 02115,12,5
Boston Medical Center,Suffolk - 02118,269,61
Brigham and Womens - Faulkner,Suffolk - 02130,80,7
Brigham and Womens Hospital,Suffolk - 02115,199,97
Brockton Hospital,Plymouth - 02302,84,11
Cambridge Hospital,Middlesex - 02139,91,18
Cape Cod Hospital,Barnstable - 02601,15,5
Carney Hospital,Suffolk - 02124,89,15
Clinton Hospital,Worcester- 01510,2,0
Cooley Dickinson Hospital,Hampshire - 01060,10,4
Emerson Hospital,Middlesex - 01742,38,4
Fairview Hospital,Berkshire - 01230,3,0
Falmouth Hospital,Barnstable - 02540,10,5
Good Samaritan Medical Center,Plymouth - 02301,95,11
Harrington Hospital,Worcester - 01550,7,2
Health Alliance-Leominster,Worcester - 01453,18,3
Heywood Hospital,Worcester - 01440,11,4
Holy Family Hospital,Essex - 01844,56,24
Holyoke Hospital,Hampden - 01040,41,8
Lahey Hospital Burlington,Middlesex - 01805,137,60
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,66,20
Lowell General Hospital,Middlesex - 01854,87,31
Marlborough Hospital,Middlesex - 01752,18,7
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts General Hospital,Suffolk - 02114,452,172
Melrose Wakefield Hospital,Middlesex - 02176,45,10
Mercy Medical Center,Hampden - 01104,40,7
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,29,14
MetroWest Medical Center Natick,Middlesex - 01760,17,3
Milford Regional Medical Center,Worcester - 01757,45,7
Morton Hospital,Bristol - 02780,80,17
Mount Auburn Hospital,Middlesex - 02138,82,10
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,0
Newton-Wellesley Hospital,Middlesex - 02462,94,17
North Shore Medical Center Salem,Essex - 01970,120,22
Norwood Hospital,Norfolk - 02062,39,10
Saint Vincent Hospital,Worcester - 01608,60,12
Saints Memorial Medical Center,Middlesex - 01852,3,0
South Shore Hospital,Norfolk - 02190,145,26
Southcoast Charlton Memorial Hospital,Bristol - 02720,30,9
St Annes Hospital,Bristol - 02721,4,0
St Elizabeths Medical Center,Suffolk - 02135,57,20
St Lukes Hospital,Bristol - 02740,63,10
Sturdy Memorial Hospital,Bristol - 02703,32,7
Tobey Hospital,Plymouth - 02571,12,3
Tufts Medical Center,Suffolk - 02111,91,61
UMass Memorial-Memorial Campus,Worcester - 01605,66,24
UMass Memorial-University Campus,Worcester - 01655,104,51
Winchester Hospital,Middlesex - 01890,63,7
Baystate Wing Hospital,Hampden - 01069,8,0
