Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,19,4
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,7,1
Baystate Medical Center,Hampden - 01199,91,15
Baystate Noble Hospital,Hampden - 01085,3,0
Wing Memorial Hospital,Hampden - 01069,9,0
Berkshire Medical Center,Berkshire - 01201,4,2
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,44,6
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,22,3
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,66,2
Beth Israel Deaconess Medical Center,Suffolk - 02215,258,86
Beverly Hospital,Essex - 01915,91,8
Boston Childrens Hospital,Suffolk - 02115,5,2
Boston Medical Center,Suffolk - 02118,227,54
Brigham and Womens - Faulkner,Suffolk - 02130,53,6
Brigham and Womens Hospital,Suffolk - 02115,155,71
Brockton Hospital,Plymouth - 02302,72,13
Cambridge Hospital,Middlesex - 02139,66,22
Cape Cod Hospital,Barnstable - 02601,16,4
Carney Hospital,Suffolk - 02124,66,15
Clinton Hospital,Worcester- 01510,1,0
Cooley Dickinson Hospital,Hampshire - 01060,24,6
Emerson Hospital,Middlesex - 01742,38,3
Fairview Hospital,Berkshire - 01230,3,0
Falmouth Hospital,Barnstable - 02540,5,2
Good Samaritan Medical Center,Plymouth - 02301,80,11
Harrington Hospital,Worcester - 01550,9,2
Health Alliance-Leominster,Worcester - 01453,24,3
Heywood Hospital,Worcester - 01440,11,0
Holy Family Hospital,Essex - 01844,67,25
Holyoke Hospital,Hampden - 01040,37,3
Lahey Hospital Burlington,Middlesex - 01805,127,50
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,60,20
Lowell General Hospital,Middlesex - 01854,81,21
Marlborough Hospital,Middlesex - 01752,21,10
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts General Hospital,Suffolk - 02114,360,125
Melrose Wakefield Hospital,Middlesex - 02176,51,10
Mercy Medical Center,Hampden - 01104,35,11
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,58,7
MetroWest Medical Center Natick,Middlesex - 01760,15,2
Milford Regional Medical Center,Worcester - 01757,44,8
Morton Hospital,Bristol - 02780,75,12
Mount Auburn Hospital,Middlesex - 02138,67,10
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,2
Newton-Wellesley Hospital,Middlesex - 02462,77,13
North Shore Medical Center Salem,Essex - 01970,122,28
Norwood Hospital,Norfolk - 02062,42,7
Saint Vincent Hospital,Worcester - 01608,66,14
Saints Memorial Medical Center,Middlesex - 01852,0,0
South Shore Hospital,Norfolk - 02190,101,10
Southcoast Charlton Memorial Hospital,Bristol - 02720,44,9
St Annes Hospital,Bristol - 02721,13,0
St Elizabeths Medical Center,Suffolk - 02135,48,20
St Lukes Hospital,Bristol - 02740,59,16
Sturdy Memorial Hospital,Bristol - 02703,40,4
Tobey Hospital,Plymouth - 02571,20,5
Tufts Medical Center,Suffolk - 02111,95,51
UMass Memorial-Memorial Campus,Worcester - 01605,77,18
UMass Memorial-University Campus,Worcester - 01655,107,50
Winchester Hospital,Middlesex - 01890,61,6
