Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,19,4
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,3,0
Baystate Medical Center,Hampden - 01199,95,12
Baystate Noble Hospital,Hampden - 01085,3,0
Wing Memorial Hospital,Hampden - 01069,6,0
Berkshire Medical Center,Berkshire - 01201,8,2
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,27,6
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,24,4
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,66,6
Beth Israel Deaconess Medical Center,Suffolk - 02215,233,76
Beverly Hospital,Essex - 01915,87,8
Boston Childrens Hospital,Suffolk - 02115,20,3
Boston Medical Center,Suffolk - 02118,219,53
Brigham and Womens - Faulkner,Suffolk - 02130,45,5
Brigham and Womens Hospital,Suffolk - 02115,137,55
Brockton Hospital,Plymouth - 02302,77,13
Cambridge Hospital,Middlesex - 02139,66,13
Cape Cod Hospital,Barnstable - 02601,19,6
Carney Hospital,Suffolk - 02124,52,12
Clinton Hospital,Worcester- 01510,0,0
Cooley Dickinson Hospital,Hampshire - 01060,20,3
Emerson Hospital,Middlesex - 01742,44,5
Fairview Hospital,Berkshire - 01230,3,1
Falmouth Hospital,Barnstable - 02540,3,0
Good Samaritan Medical Center,Plymouth - 02301,68,11
Harrington Hospital,Worcester - 01550,5,1
Health Alliance-Leominster,Worcester - 01453,22,3
Heywood Hospital,Worcester - 01440,2,0
Holy Family Hospital,Essex - 01844,68,21
Holyoke Hospital,Hampden - 01040,29,3
Lahey Hospital Burlington,Middlesex - 01805,110,49
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,71,16
Lowell General Hospital,Middlesex - 01854,87,24
Marlborough Hospital,Middlesex - 01752,26,11
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts Eye and Ear Infirmary,Suffolk - 02114,6,0
Massachusetts General Hospital,Suffolk - 02114,328,110
Melrose Wakefield Hospital,Middlesex - 02176,55,9
Mercy Medical Center,Hampden - 01104,35,11
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,52,4
MetroWest Medical Center Natick,Middlesex - 01760,6,1
Milford Regional Medical Center,Worcester - 01757,41,7
Morton Hospital,Bristol - 02780,54,8
Mount Auburn Hospital,Middlesex - 02138,60,9
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,0
Newton-Wellesley Hospital,Middlesex - 02462,74,10
North Shore Medical Center Salem,Essex - 01970,103,24
Norwood Hospital,Norfolk - 02062,42,5
Saint Vincent Hospital,Worcester - 01608,73,15
Saints Memorial Medical Center,Middlesex - 01852,0,0
South Shore Hospital,Norfolk - 02190,97,14
Southcoast Charlton Memorial Hospital,Bristol - 02720,48,13
St Annes Hospital,Bristol - 02721,12,0
St Elizabeths Medical Center,Suffolk - 02135,44,20
St Lukes Hospital,Bristol - 02740,81,15
Sturdy Memorial Hospital,Bristol - 02703,33,5
Tobey Hospital,Plymouth - 02571,26,4
Tufts Medical Center,Suffolk - 02111,68,39
UMass Memorial-Memorial Campus,Worcester - 01605,91,22
UMass Memorial-University Campus,Worcester - 01655,96,49
Winchester Hospital,Middlesex - 01890,60,6
