Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,26,4
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,11,0
Baystate Medical Center,Hampden - 01199,107,16
Baystate Noble Hospital,Hampden - 01085,6,0
Wing Memorial Hospital,Hampden - 01069,5,0
Berkshire Medical Center,Berkshire - 01201,9,5
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,43,11
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,29,5
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,46,7
Beth Israel Deaconess Medical Center,Suffolk - 02215,268,96
Beverly Hospital,Essex - 01915,101,10
Boston Childrens Hospital,Suffolk - 02115,13,4
Boston Medical Center,Suffolk - 02118,259,62
Brigham and Womens - Faulkner,Suffolk - 02130,77,8
Brigham and Womens Hospital,Suffolk - 02115,184,78
Brockton Hospital,Plymouth - 02302,64,13
Cambridge Hospital,Middlesex - 02139,76,16
Cape Cod Hospital,Barnstable - 02601,18,4
Carney Hospital,Suffolk - 02124,59,16
Clinton Hospital,Worcester- 01510,2,0
Cooley Dickinson Hospital,Hampshire - 01060,18,6
Emerson Hospital,Middlesex - 01742,46,6
Fairview Hospital,Berkshire - 01230,3,0
Falmouth Hospital,Barnstable - 02540,6,2
Good Samaritan Medical Center,Plymouth - 02301,105,14
Harrington Hospital,Worcester - 01550,9,1
Health Alliance-Leominster,Worcester - 01453,21,3
Heywood Hospital,Worcester - 01440,14,2
Holy Family Hospital,Essex - 01844,49,20
Holyoke Hospital,Hampden - 01040,39,4
Lahey Hospital Burlington,Middlesex - 01805,152,65
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,56,15
Lowell General Hospital,Middlesex - 01854,76,28
Marlborough Hospital,Middlesex - 01752,24,10
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts General Hospital,Suffolk - 02114,458,146
Melrose Wakefield Hospital,Middlesex - 02176,56,9
Mercy Medical Center,Hampden - 01104,35,6
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,58,15
MetroWest Medical Center Natick,Middlesex - 01760,20,4
Milford Regional Medical Center,Worcester - 01757,42,9
Morton Hospital,Bristol - 02780,82,19
Mount Auburn Hospital,Middlesex - 02138,76,12
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,1,0
Newton-Wellesley Hospital,Middlesex - 02462,82,15
North Shore Medical Center Salem,Essex - 01970,122,22
Norwood Hospital,Norfolk - 02062,59,6
Saint Vincent Hospital,Worcester - 01608,72,11
Saints Memorial Medical Center,Middlesex - 01852,2,0
South Shore Hospital,Norfolk - 02190,129,20
Southcoast Charlton Memorial Hospital,Bristol - 02720,36,10
St Annes Hospital,Bristol - 02721,1,0
St Elizabeths Medical Center,Suffolk - 02135,55,21
St Lukes Hospital,Bristol - 02740,54,10
Sturdy Memorial Hospital,Bristol - 02703,36,6
Tobey Hospital,Plymouth - 02571,18,4
Tufts Medical Center,Suffolk - 02111,88,53
UMass Memorial-Memorial Campus,Worcester - 01605,69,22
UMass Memorial-University Campus,Worcester - 01655,108,50
Winchester Hospital,Middlesex - 01890,74,10
