Hospital Name,Hospital county and zip code,"Hospitalized Total COVID
patients - suspected and confirmed (including ICU)",Hospitalized COVID Patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,23,4
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,8,2
Baystate Medical Center,Hampden - 01199,123,15
Baystate Noble Hospital,Hampden - 01085,8,0
Berkshire Medical Center,Berkshire - 01201,12,4
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,56,9
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,21,5
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,38,2
Beth Israel Deaconess Medical Center,Suffolk - 02215,281,102
Beverly Hospital,Essex - 01915,73,10
Boston Childrens Hospital,Suffolk - 02115,10,4
Boston Medical Center,Suffolk - 02118,267,62
Brigham and Womens - Faulkner,Suffolk - 02130,72,10
Brigham and Womens Hospital,Suffolk - 02115,192,90
Brockton Hospital,Plymouth - 02302,92,13
Cambridge Hospital,Middlesex - 02139,96,18
Cape Cod Hospital,Barnstable - 02601,14,4
Carney Hospital,Suffolk - 02124,81,15
Clinton Hospital,Worcester- 01510,2,0
Cooley Dickinson Hospital,Hampshire - 01060,22,7
Emerson Hospital,Middlesex - 01742,33,3
Fairview Hospital,Berkshire - 01230,5,1
Falmouth Hospital,Barnstable - 02540,7,2
Good Samaritan Medical Center,Plymouth - 02301,96,10
Harrington Hospital,Worcester - 01550,5,2
Health Alliance-Leominster,Worcester - 01453,20,4
Heywood Hospital,Worcester - 01440,12,4
Holy Family Hospital,Essex - 01844,62,16
Holyoke Hospital,Hampden - 01040,41,8
Lahey Hospital Burlington,Middlesex - 01805,143,59
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,70,20
Lowell General Hospital,Middlesex - 01854,91,30
Marlborough Hospital,Middlesex - 01752,12,8
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts General Hospital,Suffolk - 02114,457,174
Melrose Wakefield Hospital,Middlesex - 02176,46,10
Mercy Medical Center,Hampden - 01104,40,6
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,41,15
MetroWest Medical Center Natick,Middlesex - 01760,14,4
Milford Regional Medical Center,Worcester - 01757,39,8
Morton Hospital,Bristol - 02780,92,16
Mount Auburn Hospital,Middlesex - 02138,77,15
Nantucket Cottage Hospital,Nantucket - 02554,1,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,1,0
Newton-Wellesley Hospital,Middlesex - 02462,117,20
North Shore Medical Center Salem,Essex - 01970,123,24
Norwood Hospital,Norfolk - 02062,46,6
Saint Vincent Hospital,Worcester - 01608,80,11
Saints Memorial Medical Center,Middlesex - 01852,3,0
South Shore Hospital,Norfolk - 02190,127,24
Southcoast Charlton Memorial Hospital,Bristol - 02720,24,5
St Annes Hospital,Bristol - 02721,2,0
St Elizabeths Medical Center,Suffolk - 02135,53,23
St Lukes Hospital,Bristol - 02740,43,7
Sturdy Memorial Hospital,Bristol - 02703,32,5
Tobey Hospital,Plymouth - 02571,13,2
Tufts Medical Center,Suffolk - 02111,93,56
UMass Memorial-Memorial Campus,Worcester - 01605,66,19
UMass Memorial-University Campus,Worcester - 01655,75,47
Winchester Hospital,Middlesex - 01890,52,5
Baystate Wing Hospital,Hampden - 01069,4,3
