Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,1,0
Anna Jaques Hospital,Essex - 01950,18,4
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,8,1
Baystate Medical Center,Hampden - 01199,90,14
Baystate Noble Hospital,Hampden - 01085,5,0
Wing Memorial Hospital,Hampden - 01069,8,0
Berkshire Medical Center,Berkshire - 01201,5,2
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,46,6
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,21,3
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,70,7
Beth Israel Deaconess Medical Center,Suffolk - 02215,248,80
Beverly Hospital,Essex - 01915,99,10
Boston Childrens Hospital,Suffolk - 02115,8,1
Boston Medical Center,Suffolk - 02118,238,57
Brigham and Womens - Faulkner,Suffolk - 02130,46,5
Brigham and Womens Hospital,Suffolk - 02115,150,60
Brockton Hospital,Plymouth - 02302,82,20
Cambridge Hospital,Middlesex - 02139,66,19
Cape Cod Hospital,Barnstable - 02601,24,4
Carney Hospital,Suffolk - 02124,52,14
Clinton Hospital,Worcester- 01510,1,0
Cooley Dickinson Hospital,Hampshire - 01060,19,5
Emerson Hospital,Middlesex - 01742,45,7
Fairview Hospital,Berkshire - 01230,2,0
Falmouth Hospital,Barnstable - 02540,5,1
Good Samaritan Medical Center,Plymouth - 02301,75,11
Harrington Hospital,Worcester - 01550,6,2
Health Alliance-Leominster,Worcester - 01453,30,8
Heywood Hospital,Worcester - 01440,4,0
Holy Family Hospital,Essex - 01844,69,23
Holyoke Hospital,Hampden - 01040,34,2
Lahey Hospital Burlington,Middlesex - 01805,139,51
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,60,14
Lowell General Hospital,Middlesex - 01854,88,23
Marlborough Hospital,Middlesex - 01752,21,11
Marthas Vineyard Hospital,Dukes - 02557,1,1
Massachusetts Eye and Ear Infirmary,Suffolk - 02114,5,
Massachusetts General Hospital,Suffolk - 02114,381,125
Melrose Wakefield Hospital,Middlesex - 02176,52,10
Mercy Medical Center,Hampden - 01104,35,11
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,55,17
MetroWest Medical Center Natick,Middlesex - 01760,11,1
Milford Regional Medical Center,Worcester - 01757,41,7
Morton Hospital,Bristol - 02780,69,12
Mount Auburn Hospital,Middlesex - 02138,68,10
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,0
Newton-Wellesley Hospital,Middlesex - 02462,73,17
North Shore Medical Center Salem,Essex - 01970,102,27
Norwood Hospital,Norfolk - 02062,46,9
Saint Vincent Hospital,Worcester - 01608,71,17
Saints Memorial Medical Center,Middlesex - 01852,0,0
South Shore Hospital,Norfolk - 02190,99,14
Southcoast Charlton Memorial Hospital,Bristol - 02720,52,12
St Annes Hospital,Bristol - 02721,12,0
St Elizabeths Medical Center,Suffolk - 02135,53,21
St Lukes Hospital,Bristol - 02740,78,12
Sturdy Memorial Hospital,Bristol - 02703,41,8
Tobey Hospital,Plymouth - 02571,14,3
Tufts Medical Center,Suffolk - 02111,78,47
UMass Memorial-Memorial Campus,Worcester - 01605,75,20
UMass Memorial-University Campus,Worcester - 01655,97,48
Winchester Hospital,Middlesex - 01890,72,8
