Addison Gilbert Hospital,Essex,0,0
Anna Jaques Hospital,Essex,19,2
Athol Memorial Hospital,Worcester,0,0
Baystate Franklin Medical Center,Franklin,2,1
Baystate Medical Center,Hampden,30,3
Baystate Noble Hospital,Hampden,0,0
Baystate Wing Hospital,Hampden,7,0
Berkshire Medical Center,Berkshire,2,0
Beth Israel Deaconess Hospital - Milton,Norfolk,12,0
Beth Israel Deaconess Hospital - Needham,Norfolk,13,3
Beth Israel Deaconess Hospital - Plymouth,Plymouth,24,6
Beth Israel Deaconess Medical Center,Suffolk,52,17
Beverly Hospital,Essex,16,4
Boston Childrens Hospital*,Suffolk,1,2
Boston Medical Center,Suffolk,56,8
Brigham and Womens - Faulkner,Suffolk,15,0
Brigham and Womens Hospital,Suffolk,45,8
Brockton Hospital,Plymouth,9,1
Cambridge Hospital,Middlesex,21,4
Cape Cod Hospital,Barnstable,6,2
Carney Hospital,Suffolk,23,8
Clinton Hospital,Worcester,1,0
Cooley Dickinson Hospital,Hampshire,12,3
Dana Farber Cancer Institute*,Suffolk,0,0
Emerson Hospital,Middlesex,0,0
Fairview Hospital,Berkshire,0,0
Falmouth Hospital,Barnstable,9,1
Good Samaritan Medical Center,Plymouth,21,6
Harrington Hospital,Worcester,1,1
Health Alliance-Leominster,Worcester,9,3
Heywood Hospital,Worcester,1,1
Holy Family Hospital,Essex,12,2
Holyoke Hospital,Hampden,6,0
Lahey Hospital Burlington,Middlesex,32,6
Lahey Hospital Peabody,Essex,0,0
Lawrence General Hospital,Essex,27,7
Lowell General Hospital,Middlesex,19,2
Marlborough Hospital,Middlesex,9,3
Marthas Vineyard Hospital,Dukes,1,1
Massachusetts Eye and Ear Infirmary*,Suffolk,0,0
Massachusetts General Hospital,Suffolk,91,24
Melrose Wakefield Hospital,Middlesex,4,0
Mercy Medical Center,Hampden,5,0
Merrimack Valley Hospital,Essex,0,0
MetroWest Medical Center Framingham,Middlesex,26,3
MetroWest Medical Center Natick,Middlesex,8,1
Milford Regional Medical Center,Worcester,13,1
Morton Hospital,Bristol,6,2
Mount Auburn Hospital,Middlesex,16,3
Nantucket Cottage Hospital,Nantucket,0,0
Nashoba Valley Medical Center,Middlesex,0,0
New England Baptist Hospital,Suffolk,0,0
Newton-Wellesley Hospital,Middlesex,34,5
North Shore Medical Center Salem,Essex,38,6
Norwood Hospital,Norfolk,3,0
Saint Vincent Hospital,Worcester,18,4
Saints Memorial Medical Center,Middlesex,0,0
South Shore Hospital,Norfolk,21,3
Southcoast Charlton Memorial Hospital,Bristol,40,9
St Annes Hospital,Bristol,0,0
St Elizabeths Medical Center,Suffolk,8,0
St Lukes Hospital,Bristol,33,2
Sturdy Memorial Hospital,Bristol,18,1
Tobey Hospital,Plymouth,11,1
Tufts Medical Center,Suffolk,37,16
UMass Memorial-Memorial Campus,Worcester,16,3
UMass Memorial-University Campus,Worcester,23,8
Winchester Hospital,Middlesex,12,2
