Addison Gilbert Hospital,Essex,0,0
Anna Jaques Hospital,Essex,22,3
Athol Memorial Hospital,Worcester,0,0
Baystate Franklin Medical Center,Franklin,4,0
Baystate Medical Center,Hampden,26,5
Baystate Noble Hospital,Hampden,0,0
Baystate Wing Hospital,Hampden,7,0
Berkshire Medical Center,Berkshire,0,0
Beth Israel Deaconess Hospital - Milton,Norfolk,7,0
Beth Israel Deaconess Hospital - Needham,Norfolk,14,3
Beth Israel Deaconess Hospital - Plymouth,Plymouth,31,3
Beth Israel Deaconess Medical Center,Suffolk,61,19
Beverly Hospital,Essex,19,5
Boston Childrens Hospital*,Suffolk,0,0
Boston Medical Center,Suffolk,62,16
Brigham and Womens - Faulkner,Suffolk,16,2
Brigham and Womens Hospital,Suffolk,45,11
Brockton Hospital,Plymouth,17,1
Cambridge Hospital,Middlesex,17,3
Cape Cod Hospital,Barnstable,6,3
Carney Hospital,Suffolk,28,8
Clinton Hospital,Worcester,1,0
Cooley Dickinson Hospital,Hampshire,10,5
Dana Farber Cancer Institute*,Suffolk,0,0
Emerson Hospital,Middlesex,1,0
Fairview Hospital,Berkshire,0,0
Falmouth Hospital,Barnstable,7,3
Good Samaritan Medical Center,Plymouth,17,6
Harrington Hospital,Worcester,0,0
Health Alliance-Leominster,Worcester,18,2
Heywood Hospital,Worcester,5,1
Holy Family Hospital,Essex,12,2
Holyoke Hospital,Hampden,3,0
Lahey Hospital Burlington,Middlesex,28,6
Lahey Hospital Peabody,Essex,0,0
Lawrence General Hospital,Essex,23,6
Lowell General Hospital,Middlesex,17,5
Marlborough Hospital,Middlesex,6,4
Marthas Vineyard Hospital,Dukes,0,0
Massachusetts Eye and Ear Infirmary*,Suffolk,0,0
Massachusetts General Hospital,Suffolk,96,22
Melrose Wakefield Hospital,Middlesex,3,1
Mercy Medical Center,Hampden,10,1
Merrimack Valley Hospital,Essex,0,0
MetroWest Medical Center Framingham,Middlesex,19,4
MetroWest Medical Center Natick,Middlesex,3,1
Milford Regional Medical Center,Worcester,17,0
Morton Hospital,Bristol,10,2
Mount Auburn Hospital,Middlesex,16,4
Nantucket Cottage Hospital,Nantucket,0,0
Nashoba Valley Medical Center,Middlesex,0,0
New England Baptist Hospital,Suffolk,0,0
Newton-Wellesley Hospital,Middlesex,33,6
North Shore Medical Center Salem,Essex,41,5
Norwood Hospital,Norfolk,5,0
Saint Vincent Hospital,Worcester,22,5
Saints Memorial Medical Center,Middlesex,0,0
South Shore Hospital,Norfolk,30,6
Southcoast Charlton Memorial Hospital,Bristol,39,9
St Annes Hospital,Bristol,0,0
St Elizabeths Medical Center,Suffolk,2,0
St Lukes Hospital,Bristol,16,2
Sturdy Memorial Hospital,Bristol,12,1
Tobey Hospital,Plymouth,2,0
Tufts Medical Center,Suffolk,39,18
UMass Memorial-Memorial Campus,Worcester,13,3
UMass Memorial-University Campus,Worcester,27,14
Winchester Hospital,Middlesex,13,1
