Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,17,4
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,8,1
Baystate Medical Center,Hampden - 01199,96,12
Baystate Noble Hospital,Hampden - 01085,5,0
Wing Memorial Hospital,Hampden - 01069,5,0
Berkshire Medical Center,Berkshire - 01201,3,1
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,36,6
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,16,3
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,74,9
Beth Israel Deaconess Medical Center,Suffolk - 02215,237,79
Beverly Hospital,Essex - 01915,87,7
Boston Childrens Hospital,Suffolk - 02115,12,2
Boston Medical Center,Suffolk - 02118,237,58
Brigham and Womens - Faulkner,Suffolk - 02130,54,5
Brigham and Womens Hospital,Suffolk - 02115,145,56
Brockton Hospital,Plymouth - 02302,76,13
Cambridge Hospital,Middlesex - 02139,66,14
Cape Cod Hospital,Barnstable - 02601,21,4
Carney Hospital,Suffolk - 02124,57,13
Clinton Hospital,Worcester- 01510,2,0
Cooley Dickinson Hospital,Hampshire - 01060,17,5
Emerson Hospital,Middlesex - 01742,48,7
Fairview Hospital,Berkshire - 01230,3,1
Falmouth Hospital,Barnstable - 02540,5,2
Good Samaritan Medical Center,Plymouth - 02301,72,11
Harrington Hospital,Worcester - 01550,5,2
Health Alliance-Leominster,Worcester - 01453,14,4
Heywood Hospital,Worcester - 01440,5,0
Holy Family Hospital,Essex - 01844,67,22
Holyoke Hospital,Hampden - 01040,34,3
Lahey Hospital Burlington,Middlesex - 01805,138,56
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,52,15
Lowell General Hospital,Middlesex - 01854,101,24
Marlborough Hospital,Middlesex - 01752,23,11
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts Eye and Ear Infirmary,Suffolk - 02114,5,
Massachusetts General Hospital,Suffolk - 02114,344,112
Melrose Wakefield Hospital,Middlesex - 02176,51,8
Mercy Medical Center,Hampden - 01104,42,11
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,51,6
MetroWest Medical Center Natick,Middlesex - 01760,8,1
Milford Regional Medical Center,Worcester - 01757,39,8
Morton Hospital,Bristol - 02780,63,11
Mount Auburn Hospital,Middlesex - 02138,62,6
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,0
Newton-Wellesley Hospital,Middlesex - 02462,68,12
North Shore Medical Center Salem,Essex - 01970,97,26
Norwood Hospital,Norfolk - 02062,47,6
Saint Vincent Hospital,Worcester - 01608,73,15
Saints Memorial Medical Center,Middlesex - 01852,0,0
South Shore Hospital,Norfolk - 02190,98,9
Southcoast Charlton Memorial Hospital,Bristol - 02720,44,9
St Annes Hospital,Bristol - 02721,12,0
St Elizabeths Medical Center,Suffolk - 02135,56,21
St Lukes Hospital,Bristol - 02740,72,14
Sturdy Memorial Hospital,Bristol - 02703,41,8
Tobey Hospital,Plymouth - 02571,15,3
Tufts Medical Center,Suffolk - 02111,76,41
UMass Memorial-Memorial Campus,Worcester - 01605,74,18
UMass Memorial-University Campus,Worcester - 01655,98,49
Winchester Hospital,Middlesex - 01890,62,8
