Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,18,5
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,4,0
Baystate Medical Center,Hampden - 01199,80,18
Baystate Noble Hospital,Hampden - 01085,3,0
Wing Memorial Hospital,Hampden - 01069,10,0
Berkshire Medical Center,Berkshire - 01201,2,2
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,39,6
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,20,2
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,76,7
Beth Israel Deaconess Medical Center,Suffolk - 02215,184,72
Beverly Hospital,Essex - 01915,77,8
Boston Childrens Hospital,Suffolk - 02115,6,1
Boston Medical Center,Suffolk - 02118,170,40
Brigham and Womens - Faulkner,Suffolk - 02130,52,4
Brigham and Womens Hospital,Suffolk - 02115,149,66
Brockton Hospital,Plymouth - 02302,77,11
Cambridge Hospital,Middlesex - 02139,64,13
Cape Cod Hospital,Barnstable - 02601,21,6
Carney Hospital,Suffolk - 02124,43,12
Clinton Hospital,Worcester- 01510,0,0
Cooley Dickinson Hospital,Hampshire - 01060,17,5
Emerson Hospital,Middlesex - 01742,51,6
Fairview Hospital,Berkshire - 01230,2,0
Falmouth Hospital,Barnstable - 02540,5,1
Good Samaritan Medical Center,Plymouth - 02301,87,11
Harrington Hospital,Worcester - 01550,6,2
Health Alliance-Leominster,Worcester - 01453,24,7
Heywood Hospital,Worcester - 01440,2,0
Holy Family Hospital,Essex - 01844,55,22
Holyoke Hospital,Hampden - 01040,15,3
Lahey Hospital Burlington,Middlesex - 01805,109,51
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,64,15
Lowell General Hospital,Middlesex - 01854,80,29
Marlborough Hospital,Middlesex - 01752,23,11
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts Eye and Ear Infirmary,Suffolk - 02114,6,0
Massachusetts General Hospital,Suffolk - 02114,299,92
Melrose Wakefield Hospital,Middlesex - 02176,38,6
Mercy Medical Center,Hampden - 01104,33,10
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,48,16
MetroWest Medical Center Natick,Middlesex - 01760,12,3
Milford Regional Medical Center,Worcester - 01757,39,7
Morton Hospital,Bristol - 02780,48,7
Mount Auburn Hospital,Middlesex - 02138,40,7
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,0
Newton-Wellesley Hospital,Middlesex - 02462,69,13
North Shore Medical Center Salem,Essex - 01970,102,17
Norwood Hospital,Norfolk - 02062,37,5
Saint Vincent Hospital,Worcester - 01608,60,15
Saints Memorial Medical Center,Middlesex - 01852,0,0
South Shore Hospital,Norfolk - 02190,82,14
Southcoast Charlton Memorial Hospital,Bristol - 02720,70,17
St Annes Hospital,Bristol - 02721,4,0
St Elizabeths Medical Center,Suffolk - 02135,41,20
St Lukes Hospital,Bristol - 02740,88,13
Sturdy Memorial Hospital,Bristol - 02703,49,4
Tobey Hospital,Plymouth - 02571,18,3
Tufts Medical Center,Suffolk - 02111,48,34
UMass Memorial-Memorial Campus,Worcester - 01605,85,20
UMass Memorial-University Campus,Worcester - 01655,107,49
Winchester Hospital,Middlesex - 01890,44,5
