Addison Gilbert Hospital,Essex,0,0
Anna Jaques Hospital,Essex,17,3
Athol Memorial Hospital,Worcester,0,0
Baystate Franklin Medical Center,Franklin,5,0
Baystate Medical Center,Hampden,34,5
Baystate Noble Hospital,Hampden,0,0
Baystate Wing Hospital,Hampden,7,0
Berkshire Medical Center,Berkshire,0,0
Beth Israel Deaconess Hospital - Milton,Norfolk,10,2
Beth Israel Deaconess Hospital - Needham,Norfolk,7,3
Beth Israel Deaconess Hospital - Plymouth,Plymouth,32,3
Beth Israel Deaconess Medical Center,Suffolk,68,19
Beverly Hospital,Essex,20,3
Boston Childrens Hospital*,Suffolk,2,0
Boston Medical Center,Suffolk,68,17
Brigham and Womens - Faulkner,Suffolk,25,3
Brigham and Womens Hospital,Suffolk,48,10
Brockton Hospital,Plymouth,9,1
Cambridge Hospital,Middlesex,19,4
Cape Cod Hospital,Barnstable,5,2
Carney Hospital,Suffolk,22,9
Clinton Hospital,Worcester,0,0
Cooley Dickinson Hospital,Hampshire,13,4
Dana Farber Cancer Institute*,Suffolk,0,0
Emerson Hospital,Middlesex,1,0
Fairview Hospital,Berkshire,0,0
Falmouth Hospital,Barnstable,11,2
Good Samaritan Medical Center,Plymouth,31,6
Harrington Hospital,Worcester,1,1
Health Alliance-Leominster,Worcester,18,6
Heywood Hospital,Worcester,4,1
Holy Family Hospital,Essex,9,2
Holyoke Hospital,Hampden,4,0
Lahey Hospital Burlington,Middlesex,29,9
Lahey Hospital Peabody,Essex,0,0
Lawrence General Hospital,Essex,20,2
Lowell General Hospital,Middlesex,19,9
Marlborough Hospital,Middlesex,11,2
Marthas Vineyard Hospital,Dukes,1,0
Massachusetts Eye and Ear Infirmary*,Suffolk,0,0
Massachusetts General Hospital,Suffolk,117,29
Melrose Wakefield Hospital,Middlesex,5,1
Mercy Medical Center,Hampden,12,1
Merrimack Valley Hospital,Essex,0,0
MetroWest Medical Center Framingham,Middlesex,21,5
MetroWest Medical Center Natick,Middlesex,2,1
Milford Regional Medical Center,Worcester,5,0
Morton Hospital,Bristol,9,2
Mount Auburn Hospital,Middlesex,23,7
Nantucket Cottage Hospital,Nantucket,0,0
Nashoba Valley Medical Center,Middlesex,0,0
New England Baptist Hospital,Suffolk,0,0
Newton-Wellesley Hospital,Middlesex,39,3
North Shore Medical Center Salem,Essex,46,14
Norwood Hospital,Norfolk,9,0
Saint Vincent Hospital,Worcester,25,7
Saints Memorial Medical Center,Middlesex,0,0
South Shore Hospital,Norfolk,26,6
Southcoast Charlton Memorial Hospital,Bristol,42,10
St Annes Hospital,Bristol,0,0
St Elizabeths Medical Center,Suffolk,8,4
St Lukes Hospital,Bristol,44,10
Sturdy Memorial Hospital,Bristol,20,3
Tobey Hospital,Bristol,8,3
Tufts Medical Center,Suffolk,40,16
UMass Memorial-Memorial Campus,Worcester,18,6
UMass Memorial-University Campus,Worcester,39,19
Winchester Hospital,Middlesex,15,1
